species	gene_count_C-type	gene_count_I-type
Orussus_abietinus	0	1
Osmia_bicornis_bicornis	0	1
Osmia_lignaria	0	2
Ostrinia_furnacalis	7	5
Ostrinia_nubilalis	6	7
Papilio_machaon	4	5
Papilio_polytes	5	5
Papilio_xuthus	4	3
Pararge_aegeria	2	4
Parnassius_apollo	9	7
Pectinophora_gossypiella	6	6
Pediculus_humanus_corporis	1	3
Periplaneta_americana	8	8
Phlebotomus_argentipes	4	1
Phlebotomus_papatasi	5	10
Photinus_pyralis	1	1
Phymastichus_coffea	0	5
Pieris_brassicae	3	4
Pieris_napi	3	4
Pieris_rapae	3	5
Planococcus_citri	0	3
Plodia_interpunctella	4	2
Plutella_xylostella	2	1
Pogonomyrmex_barbatus	0	1
Polistes_canadensis	0	1
Polistes_dominula	0	1
Polistes_fuscatus	0	3
Polypedilum_vanderplanki	9	4
Procambarus_clarkii	8	2
Pseudomyrmex_gracilis	0	2
Rhodnius_prolixus	3	3
Rhopalosiphum_maidis	0	3
Rhopalosiphum_padi	0	3
Rhynchophorus_ferrugineus	5	2
Sabethes_cyaneus	11	8
Scaptodrosophila_lebanonensis	21	2
Scylla_paramamosain	2	4
Sipha_flava	0	1
Sitodiplosis_mosellana	1	4
Sitophilus_oryzae	1	4
Solenopsis_invicta	0	5
Spodoptera_frugiperda	4	4
Spodoptera_litura	6	4
Stomoxys_calcitrans	30	6
Temnothorax_curvispinosus	0	3
Temnothorax_longispinosus	0	10
Tenebrio_molitor	2	6
Thrips_palmi	6	2
Topomyia_yanbarensis	7	2
Toxorhynchites_rutilus_septentrionalis	4	4
Trachymyrmex_septentrionalis	0	4
Tribolium_castaneum	4	5
Tribolium_madens	1	2
Trichogramma_pretiosum	0	4
Trichoplusia_ni	5	2
Uranotaenia_lowii	7	3
Vanessa_atalanta	2	5
Vanessa_cardui	3	5
Vanessa_tameamea	2	1
Venturia_canescens	0	1
Vespa_crabro	0	1
Vespa_mandarinia	0	1
Vespa_velutina	0	1
Vespula_pensylvanica	0	2
Vespula_vulgaris	0	4
Vollenhovia_emeryi	0	4
Wasmannia_auropunctata	0	2
Wyeomyia_smithii	8	4
Zerene_cesonia	4	3
Zeugodacus_cucurbitae	17	7
Zootermopsis_nevadensis	4	18
Zophobas_morio	4	0
